SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
162,NIFTY 100,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Ship Building,INE249Z01020
163,NIFTY 100,Muthoot Finance Ltd.,MUTHOOTFIN,Finance - NBFC,INE414G01012
164,NIFTY 100,NTPC Ltd.,NTPC,Power Generation/Distribution,INE733E01010
165,NIFTY 100,Nestle India Ltd.,NESTLEIND,Consumer Food,INE239A01024
166,NIFTY 100,Oil & Natural Gas Corporation Ltd.,ONGC,Oil Exploration,INE213A01029
167,NIFTY 100,Pidilite Industries Ltd.,PIDILITIND,Chemicals,INE318A01026
168,NIFTY 100,Power Finance Corporation Ltd.,PFC,Finance Term Lending,INE134E01011
169,NIFTY 100,Power Grid Corporation of India Ltd.,POWERGRID,Power Generation/Distribution,INE752E01010
170,NIFTY 100,Punjab National Bank,PNB,NIFTY PRIVATE BANK,INE160A01022
171,NIFTY 100,REC Ltd.,RECLTD,Finance Term Lending,INE020B01018
172,NIFTY 100,Reliance Industries Ltd.,RELIANCE,Refineries,INE002A01018
173,NIFTY 100,SBI Life Insurance Company Ltd.,SBILIFE,Insurance,INE123W01016
174,NIFTY 100,Samvardhana Motherson International Ltd.,MOTHERSON,Auto Ancillary,INE775A01035
175,NIFTY 100,Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,INE070A01015
176,NIFTY 100,Shriram Finance Ltd.,SHRIRAMFIN,Finance - NBFC,INE721A01047
